# Number of sources: 18450
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 354.610840, -35.031185, 1.645349e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.349674e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.716492, -35.029022, 1.638944e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.566417e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.683655, -35.065411, 1.160096e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.273895, -34.848572, 2.387596e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.915743e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.775421, -34.679974, 3.520495e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.171226e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.816589, -34.595409, 1.028917e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.947265e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.466705, -34.912907, 2.331737e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.935213e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.278320, -34.921616, 1.259465e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.948598e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.765717, -34.426895, 1.566424e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.805421e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.123596, -34.593655, 1.126905e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.515576e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.677979, -34.609802, 2.953525e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.870427e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.373749, -34.876526, 1.198306e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-3.997777e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.939880, -34.658764, 1.581203e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.504875e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.251770, -34.827457, 7.934663e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.071624e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.159149, -34.712498, 1.148734e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.410835e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.202332, -34.734432, 8.208057e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.156748e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.753326, -34.744499, 1.325820e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.993412e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.405090, -34.721107, 1.425676e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.481171, -34.299316, 8.560528e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.999923e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.249390, -34.803978, 2.759712e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.260916e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.470245, -34.555691, 1.025657e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.558033e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.374847, -34.375137, 1.220789e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.753841e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.318024, -34.448769, 2.831583e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.161820e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.371216, -34.634258, 1.933135e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.429742e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.283417, -34.202766, 1.044295e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.606490e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.104675, -34.193989, 1.594364e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.600835e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.827789, -34.603920, 1.235764e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.063651e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.757935, -34.204739, 1.343538e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.444770e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.898865, -34.557907, 2.399517e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.986630e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.371826, -34.196392, 1.998035e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.813758e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.778076, -34.405338, 3.373616e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.518073e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.867981, -34.351971, 1.924877e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.405083e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.084351, -34.360718, 1.307270e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.895225e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.390381, -34.541912, 6.574739e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.968590e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.417725, -34.589161, 2.639723e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.407593, -34.373779, 2.037072e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.016563e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.712250, -34.525612, 2.011901e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.556244e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.326782, -34.053955, 4.141680e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.281952e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.357880, -34.099541, 1.877397e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.843849e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.514221, -34.411320, 1.341470e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.445178e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.287964, -34.142204, 1.300123e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.003812e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.858185, -33.966572, 1.129382e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.800546e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.992126, -34.401432, 1.263291e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.037334e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.267212, -34.164856, 1.157342e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.677521, -33.942623, 1.054750e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.390226e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.663849, -33.890862, 1.069991e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.542741e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.913055, -33.873386, 6.238038e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.317739e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.512329, -34.171066, 1.793913e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.314372e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.122650, -34.165768, 1.297117e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.466238e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.488678, -34.293358, 1.766797e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.195162e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 352.542236, -34.314529, 1.147256e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.008439e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
